WILAYAH,PKB,Gerindra,PDIP,Golkar,NasDem,Garuda,Berkarya,PKS,Perindo,PPP,PSI,PAN,Hanura,Demokrat,PBB,PKPI
JAWA BARAT III,112.226,282.653,212.966,210.231,90.986,10.087,40.128,253.043,39.558,82.932,26.025,106.378,38.389,170.323,28.233,4.879
JAWA BARAT IV,79.865,305.557,128.847,182.677,52.262,4.691,28.105,220.166,29.242,79.385,10.757,176.501,32.803,111.452,7.674,3.009
JAWA BARAT IX,188.357,322.543,420.236,340.563,100.948,14.555,59.325,184.341,70.881,91.074,21.803,207.961,7.353,116.512,19.188,4.331
JAWA BARAT V,134.107,624.731,285.639,326.505,111.164,12.171,86.716,325.515,73.807,193.416,32.294,197.356,19.87,173.094,16.159,5.824
JAWA BARAT VI,128.716,369.993,446.351,215.851,78.889,6.847,31.577,500.048,53.649,73.733,83.6,161.405,13.939,103.469,12.245,3.641
JAWA BARAT VII,234.496,588.135,413.842,523.248,147.717,15.117,70.996,440.318,115.576,86.496,38.106,172.469,36.176,259.139,35.775,4.835
JAWA BARAT VIII,305.698,245.048,372.952,409.15,167.625,12.21,59.797,149.375,76.081,67.9,24.043,99.19,49.578,120.52,10.409,2.847
JAWA BARAT X,116.84,215.437,314.659,173.415,65.114,7.591,37.88,229.53,34.506,126.892,9.305,105.724,5.512,143.057,16.294,2.323
JAWA BARAT XI,296.151,628.289,277.333,257.891,91.28,13.862,65.194,268.387,42.151,200.678,18.463,251.952,33.121,221.761,32.466,3.592
JAWA TENGAH I,233.929,176.775,672.174,161.305,157.678,8.446,33.987,138.626,82.106,127.595,83.42,96.382,12.976,140.734,5.595,3.162
JAWA TENGAH II,255.86,169.802,403.488,199.956,258.668,5.478,28.268,46.778,29.037,129.121,23.847,63.013,8.26,87.385,5.295,1.774
JAWA TENGAH III,290.631,205.355,611.451,191.356,237.319,14.235,55.104,75.555,48.376,165.75,20.028,37.534,56.032,235.887,6.833,2.652
